CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, down_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.6954, 0.7566, "-0.0315807+1.40936*x"
3, iterativefit, down_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.7566, 0.8178, "0.986545+0.0636969*x"
3, iterativefit, down_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.8178, 0.85895, "2.18429+-1.4009*x"
3, iterativefit, down_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.85895, 0.88, "-4.46535+6.34069*x"
3, iterativefit, down_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.88, 0.901, "5.9407+-5.48436*x"
3, iterativefit, down_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.901, 0.922, "1.24689+-0.274812*x"
3, iterativefit, down_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.922, 0.943, "5.24208+-4.60798*x"
3, iterativefit, down_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.943, 0.95915, "-0.466885+1.44606*x"
3, iterativefit, down_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.95915, 0.97045, "1.76286+-0.878646*x"
3, iterativefit, down_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.97045, 0.98175, "-1.83164+2.82531*x"
3, iterativefit, down_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.98175, 0.99305, "3.67562+-2.78433*x"
3, iterativefit, down_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.99305, 1.00435, "10.7785+-9.93692*x"
3, iterativefit, down_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 1.00435, 1.1, "0.798351906354"
3, iterativefit, up_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, -15, 0, "1.38154982476"
3, iterativefit, up_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0, 0.1356, "0.858440092583"
3, iterativefit, up_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.1356, 0.4069, "0.755459+0.759446*x"
3, iterativefit, up_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.4069, 0.5731, "1.41761+-0.86786*x"
3, iterativefit, up_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.5731, 0.6342, "-0.832878+3.05901*x"
